Problem Name	1-amy	2-molly	3-sydney	4-allison	5-charlie	6-jordan	7-martin	8-paul	9-lauren
%(r2_left_column)%	1	1	1	1	2	1	1	1	1
%(r2_center_column)%	2	2	3	2	3	3	3	2	2
%(r2_right_column)%	4	4	4	4	4	4	4	4	4

%(r3_left_column)%	1	1	1	1	2	1	1	1	1
%(r3_center_column)%	2	2	3	2	3	2	2	3	2
%(r3_right_column)%	4	4	4	3	4	4	4	4	4

%(noTradeValue_r2_left)%	0	0	8	3	5	3	0	1	0
%(noTradeValue_r2_center)%	3	5	13	6	9	2	4	8	9
%(noTradeValue_r2_right)%	0	5	7	23	9	6	2	4	8

%(noTradeValue_r3_left)%	0	0	8	3	5	3	0	1	0
%(noTradeValue_r3_center)%	3	5	23	7	9	5	4	9	9
%(noTradeValue_r3_right)%	0	15	7	1	9	6	2	4	8

%(column_1_type)%	ten dollar bills	ten dollar bills	ten dollar bills	ten dollar bills	ten dollar bills	ten dollar bills	ten dollar bills	ten dollar bills	ten dollar bills
%(column_2_type)%	one dollar bills	one dollar bills	one dollar bills	one dollar bills	one dollar bills	one dollar bills	one dollar bills	one dollar bills	one dollar bills
%(column_3_type)%	dimes	dimes	dimes	dimes	dimes	dimes	dimes	dimes	dimes
%(column_4_type)%	pennies	pennies	pennies	pennies	pennies	pennies	pennies	pennies	pennies

%(r1c1_min)%	0	0	1	1	1	1	0	1	0
%(r1c1_max)%	1	1	1	1	1	1	1	1	1
%(link_r2_left_min)%	0	0	1	1	1	1	0	1	0
%(link_r2_left_max)%	1	1	1	1	1	1	1	1	1
%(link_r3_left_min)%	0	0	1	1	1	1	0	1	0
%(link_r3_left_max)%	1	1	1	1	1	1	1	1	1

%(r1c1)%	0	0	8	3	7	3	0	1	0
%(r1c2)%	3	6	2	7	5	5	4	8	9
%(r1c3)%	7	0	3	2	9	2	4	9	1
%(r1c4)%	0	5	7	3	9	6	2	4	8

%(hint_r1c1_level_1)%			"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 1)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 1)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 1)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 1)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"		"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 1)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"
%(hint_r1c1_level_2)%			"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 1)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 1)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 1)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 1)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"		"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 1)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"
%(hint_r1c1_level_3)%			"Try entering <%=givenValue(%(total)%, 1)%>"	"Try entering <%=givenValue(%(total)%, 1)%>"	"Try entering <%=givenValue(%(total)%, 1)%>"	"Try entering <%=givenValue(%(total)%, 1)%>"		"Try entering <%=givenValue(%(total)%, 1)%>"

%(hint_r1c2_level_1)%	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 2)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 2)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 2)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 2)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 2)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 2)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 2)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 2)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 2)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"
%(hint_r1c2_level_2)%	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 2)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 2)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 2)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 2)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 2)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 2)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 2)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 2)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 2)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"
%(hint_r1c2_level_3)%	"Try entering <%=givenValue(%(total)%, 2)%>"	"Try entering <%=givenValue(%(total)%, 2)%>"	"Try entering <%=givenValue(%(total)%, 2)%>"	"Try entering <%=givenValue(%(total)%, 2)%>"	"Try entering <%=givenValue(%(total)%, 2)%>"	"Try entering <%=givenValue(%(total)%, 2)%>"	"Try entering <%=givenValue(%(total)%, 2)%>"	"Try entering <%=givenValue(%(total)%, 2)%>"	"Try entering <%=givenValue(%(total)%, 2)%>"

%(hint_r1c3_level_1)%	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 3)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 3)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 3)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 3)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 3)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 3)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 3)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 3)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 3)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"
%(hint_r1c3_level_2)%	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 3)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 3)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 3)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 3)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 3)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 3)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 3)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 3)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 3)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"
%(hint_r1c3_level_3)%	"Try entering <%=givenValue(%(total)%, 3)%>"	"Try entering <%=givenValue(%(total)%, 3)%>"	"Try entering <%=givenValue(%(total)%, 3)%>"	"Try entering <%=givenValue(%(total)%, 3)%>"	"Try entering <%=givenValue(%(total)%, 3)%>"	"Try entering <%=givenValue(%(total)%, 3)%>"	"Try entering <%=givenValue(%(total)%, 3)%>"	"Try entering <%=givenValue(%(total)%, 3)%>"	"Try entering <%=givenValue(%(total)%, 3)%>"

%(hint_r1c4_level_1)%	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 4)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 4)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 4)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 4)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 4)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 4)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 4)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 4)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r1c1, r1c2, r1c3, r1c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 4)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"
%(hint_r1c4_level_2)%	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 4)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 4)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 4)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 4)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 4)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 4)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 4)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 4)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", 4)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"
%(hint_r1c4_level_3)%	"Try entering <%=givenValue(%(total)%, 4)%>"	"Try entering <%=givenValue(%(total)%, 4)%>"	"Try entering <%=givenValue(%(total)%, 4)%>"	"Try entering <%=givenValue(%(total)%, 4)%>"	"Try entering <%=givenValue(%(total)%, 4)%>"	"Try entering <%=givenValue(%(total)%, 4)%>"	"Try entering <%=givenValue(%(total)%, 4)%>"	"Try entering <%=givenValue(%(total)%, 4)%>"	"Try entering <%=givenValue(%(total)%, 4)%>"

%(hint_r2_left_level_1)%			"If you have already given %(name)% <%=fmtDecimal(totalRow([r2c1, r2c2, r2c3, r2c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", %(r2_left_column)%)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r2c1, r2c2, r2c3, r2c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", %(r2_left_column)%)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r2c1, r2c2, r2c3, r2c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", %(r2_left_column)%)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"	"If you have already given %(name)% <%=fmtDecimal(totalRow([r2c1, r2c2, r2c3, r2c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", %(r2_left_column)%)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"		"If you have already given %(name)% <%=fmtDecimal(totalRow([r2c1, r2c2, r2c3, r2c4]) / 100, 2)%>. How many <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", %(r2_left_column)%)%> would you give %(name)% to get <%=fmtDecimal(%(total)% / 100, 2)%>?"
%(hint_r2_left_level_2)%			"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", %(r2_left_column)%)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", %(r2_left_column)%)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", %(r2_left_column)%)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"	"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", %(r2_left_column)%)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"		"What is the highest number of <%=cellLabel(""%(column_1_type)%"", ""%(column_2_type)%"", ""%(column_3_type)%"", ""%(column_4_type)%"", %(r2_left_column)%)%> you can have without going over <%=fmtDecimal(%(total)% / 100, 2)%>?"
