Problem Name	1-amy	2-molly	3-Sydney	4-allison	5-charlie	6-jordan	7-martin	8-paul	9-lauren
%(totalTableDecValue_r3_mostRight)%	r3c1, r3c2, r3c3, input	r3c1, r3c2, r3c3, input	r3c1, r3c2, r3c3, input	r3c1, r3c2, input, r3c4	r3c1, r3c2, r3c3, input	r3c1, r3c2, r3c3, input	r3c1, r3c2, r3c3, input	r3c1, r3c2, r3c3, input	r3c1, r3c2, r3c3, input
									
%(name)%	Amy 	Molly	Sydney	Allison	Charlie	Jordan	Martin	Paul	Lauren
%(total)%	370	605	8237	3723	7599	3526	442	1894	918
%(noTradeValue_r2_mostLeft)%	0	0	8	3	5	3	0	1	0
%(noTradeValue_r2_Center)%	3	5	13	6	9	2	4	8	9
%(noTradeValue_r2_mostRight)%	0	5	7	23	9	6	2	4	8
									
%(noTradeValue_r3_mostLeft)%	0	0	8	3	5	3	0	1	0
%(noTradeValue_r3_Center)%	3	5	23	7	9	5	4	9	9
%(noTradeValue_r3_mostRight)%	0	15	7	1	9	6	2	4	8
									
%(column_1_type)%	"ten dollar bills"	"ten dollar bills"	"ten dollar bills"	"ten dollar bills"	"ten dollar bills"	"ten dollar bills"	"ten dollar bills"	"ten dollar bills"	"ten dollar bills"
%(column_2_type)%	"one dollar bills"	"one dollar bills"	"one dollar bills"	"one dollar bills"	"one dollar bills"	"one dollar bills"	"one dollar bills"	"one dollar bills"	"one dollar bills"
%(column_3_type)%	"dimes"	"dimes"	"dimes"	"dimes"	"dimes"	"dimes"	"dimes"	"dimes"	"dimes"
%(column_4_type)%	"pennies"	"pennies"	"pennies"	"pennies"	"pennies"	"pennies"	"pennies"	"pennies"	"pennies"
									
%(column_1_value)%	1000	1000	1000	1000	1000	1000	1000	1000	1000
%(column_2_value)%	100	100	100	100	100	100	100	100	100
%(column_3_value)%	10	10	10	10	10	10	10	10	10
%(column_4_value)%	1	1	1	1	1	1	1	1	1
									
									
%(hint_r2_mostLeft_level_1)%			If you have already given %(name)% $<%=fmtDecimal(totalTableDec(r2c1, r2c2, r2c3, r2c4)/100,2)%>. How many <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostLeft)%", 1)%> should you give %(name)% to get $<%=fmtDecimal(%(total)%/100,2)%>?	If you have already given %(name)% $<%=fmtDecimal(totalTableDec(r2c1, r2c2, r2c3, r2c4)/100,2)%>. How many <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostLeft)%", 1)%> should you give %(name)% to get $<%=fmtDecimal(%(total)%/100,2)%>?	If you have already given %(name)% $<%=fmtDecimal(totalTableDec(r2c1, r2c2, r2c3, r2c4)/100,2)%>. How many <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostLeft)%", 1)%> should you give %(name)% to get $<%=fmtDecimal(%(total)%/100,2)%>?	If you have already given %(name)% $<%=fmtDecimal(totalTableDec(r2c1, r2c2, r2c3, r2c4)/100,2)%>. How many <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostLeft)%", 1)%> should you give %(name)% to get $<%=fmtDecimal(%(total)%/100,2)%>?		If you have already given %(name)% $<%=fmtDecimal(totalTableDec(r2c1, r2c2, r2c3, r2c4)/100,2)%>. How many <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostLeft)%", 1)%> should you give %(name)% to get $<%=fmtDecimal(%(total)%/100,2)%>?	
%(hint_r2_mostLeft_level_2)%			What is the highest number of <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostLeft)%", 1)%> you can have without going over $<%=fmtDecimal(%(total)%/100,2)%>?	What is the highest number of <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostLeft)%", 1)%> you can have without going over $<%=fmtDecimal(%(total)%/100,2)%>?	What is the highest number of <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostLeft)%", 1)%> you can have without going over $<%=fmtDecimal(%(total)%/100,2)%>?	What is the highest number of <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostLeft)%", 1)%> you can have without going over $<%=fmtDecimal(%(total)%/100,2)%>?		What is the highest number of <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostLeft)%", 1)%> you can have without going over $<%=fmtDecimal(%(total)%/100,2)%>?	
%(hint_r2_mostLeft_level_3)%			Try entering <%=round(floor((%(total)%-totalTableDec(r2c1, r2c2, r2c3, r2c4))/columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostLeft)%", 0)))%>	Try entering <%=round(floor((%(total)%-totalTableDec(r2c1, r2c2, r2c3, r2c4))/columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostLeft)%", 0)))%>	Try entering <%=round(floor((%(total)%-totalTableDec(r2c1, r2c2, r2c3, r2c4))/columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostLeft)%", 0)))%>	Try entering <%=round(floor((%(total)%-totalTableDec(r2c1, r2c2, r2c3, r2c4))/columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostLeft)%", 0)))%>		Try entering <%=round(floor((%(total)%-totalTableDec(r2c1, r2c2, r2c3, r2c4))/columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostLeft)%", 0)))%>	
									
%(hint_r2_mostRight_level_1)%	If you have already given %(name)% $<%=fmtDecimal(totalTableDec(r2c1, r2c2, r2c3, r2c4)/100,2)%>. How many <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 1)%> should you give %(name)% to get $<%=fmtDecimal(%(total)%/100,2)%>?	If you have already given %(name)% $<%=fmtDecimal(totalTableDec(r2c1, r2c2, r2c3, r2c4)/100,2)%>. How many <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 1)%> should you give %(name)% to get $<%=fmtDecimal(%(total)%/100,2)%>?	If you have already given %(name)% $<%=fmtDecimal(totalTableDec(r2c1, r2c2, r2c3, r2c4)/100,2)%>. How many <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 1)%> should you give %(name)% to get $<%=fmtDecimal(%(total)%/100,2)%>?	If you have already given %(name)% $<%=fmtDecimal(totalTableDec(r2c1, r2c2, r2c3, r2c4)/100,2)%>. How many <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 1)%> should you give %(name)% to get $<%=fmtDecimal(%(total)%/100,2)%>?	If you have already given %(name)% $<%=fmtDecimal(totalTableDec(r2c1, r2c2, r2c3, r2c4)/100,2)%>. How many <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 1)%> should you give %(name)% to get $<%=fmtDecimal(%(total)%/100,2)%>?	If you have already given %(name)% $<%=fmtDecimal(totalTableDec(r2c1, r2c2, r2c3, r2c4)/100,2)%>. How many <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 1)%> should you give %(name)% to get $<%=fmtDecimal(%(total)%/100,2)%>?	If you have already given %(name)% $<%=fmtDecimal(totalTableDec(r2c1, r2c2, r2c3, r2c4)/100,2)%>. How many <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 1)%> should you give %(name)% to get $<%=fmtDecimal(%(total)%/100,2)%>?	If you have already given %(name)% $<%=fmtDecimal(totalTableDec(r2c1, r2c2, r2c3, r2c4)/100,2)%>. How many <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 1)%> should you give %(name)% to get $<%=fmtDecimal(%(total)%/100,2)%>?	If you have already given %(name)% $<%=fmtDecimal(totalTableDec(r2c1, r2c2, r2c3, r2c4)/100,2)%>. How many <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 1)%> should you give %(name)% to get $<%=fmtDecimal(%(total)%/100,2)%>?
%(hint_r2_mostRight_level_2)%	What is the highest number of <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 1)%> you can have without going over $<%=fmtDecimal(%(total)%/100,2)%>?	What is the highest number of <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 1)%> you can have without going over $<%=fmtDecimal(%(total)%/100,2)%>?	What is the highest number of <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 1)%> you can have without going over $<%=fmtDecimal(%(total)%/100,2)%>?	What is the highest number of <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 1)%> you can have without going over $<%=fmtDecimal(%(total)%/100,2)%>?	What is the highest number of <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 1)%> you can have without going over $<%=fmtDecimal(%(total)%/100,2)%>?	What is the highest number of <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 1)%> you can have without going over $<%=fmtDecimal(%(total)%/100,2)%>?	What is the highest number of <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 1)%> you can have without going over $<%=fmtDecimal(%(total)%/100,2)%>?	What is the highest number of <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 1)%> you can have without going over $<%=fmtDecimal(%(total)%/100,2)%>?	What is the highest number of <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 1)%> you can have without going over $<%=fmtDecimal(%(total)%/100,2)%>?
%(hint_r2_mostRight_level_3)%	Try entering <%=round(floor((%(total)%-totalTableDec(r2c1, r2c2, r2c3, r2c4))/columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 0)))%>	Try entering <%=round(floor((%(total)%-totalTableDec(r2c1, r2c2, r2c3, r2c4))/columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 0)))%>	Try entering <%=round(floor((%(total)%-totalTableDec(r2c1, r2c2, r2c3, r2c4))/columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 0)))%>	Try entering <%=round(floor((%(total)%-totalTableDec(r2c1, r2c2, r2c3, r2c4))/columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 0)))%>	Try entering <%=round(floor((%(total)%-totalTableDec(r2c1, r2c2, r2c3, r2c4))/columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 0)))%>	Try entering <%=round(floor((%(total)%-totalTableDec(r2c1, r2c2, r2c3, r2c4))/columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 0)))%>	Try entering <%=round(floor((%(total)%-totalTableDec(r2c1, r2c2, r2c3, r2c4))/columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 0)))%>	Try entering <%=round(floor((%(total)%-totalTableDec(r2c1, r2c2, r2c3, r2c4))/columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 0)))%>	Try entering <%=round(floor((%(total)%-totalTableDec(r2c1, r2c2, r2c3, r2c4))/columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_mostRight)%", 0)))%>
									
%(hint_r2_Center_level_1)%	If you have already given %(name)% $<%=fmtDecimal(totalTableDec(r2c1, r2c2, r2c3, r2c4)/100,2)%>. How many <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_Center)%", 1)%> should you give %(name)% to get $<%=fmtDecimal(%(total)%/100,2)%>?	If you have already given %(name)% $<%=fmtDecimal(totalTableDec(r2c1, r2c2, r2c3, r2c4)/100,2)%>. How many <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_Center)%", 1)%> should you give %(name)% to get $<%=fmtDecimal(%(total)%/100,2)%>?	If you have already given %(name)% $<%=fmtDecimal(totalTableDec(r2c1, r2c2, r2c3, r2c4)/100,2)%>. How many <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_Center)%", 1)%> should you give %(name)% to get $<%=fmtDecimal(%(total)%/100,2)%>?	If you have already given %(name)% $<%=fmtDecimal(totalTableDec(r2c1, r2c2, r2c3, r2c4)/100,2)%>. How many <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_Center)%", 1)%> should you give %(name)% to get $<%=fmtDecimal(%(total)%/100,2)%>?	If you have already given %(name)% $<%=fmtDecimal(totalTableDec(r2c1, r2c2, r2c3, r2c4)/100,2)%>. How many <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_Center)%", 1)%> should you give %(name)% to get $<%=fmtDecimal(%(total)%/100,2)%>?	If you have already given %(name)% $<%=fmtDecimal(totalTableDec(r2c1, r2c2, r2c3, r2c4)/100,2)%>. How many <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_Center)%", 1)%> should you give %(name)% to get $<%=fmtDecimal(%(total)%/100,2)%>?	If you have already given %(name)% $<%=fmtDecimal(totalTableDec(r2c1, r2c2, r2c3, r2c4)/100,2)%>. How many <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_Center)%", 1)%> should you give %(name)% to get $<%=fmtDecimal(%(total)%/100,2)%>?	If you have already given %(name)% $<%=fmtDecimal(totalTableDec(r2c1, r2c2, r2c3, r2c4)/100,2)%>. How many <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_Center)%", 1)%> should you give %(name)% to get $<%=fmtDecimal(%(total)%/100,2)%>?	If you have already given %(name)% $<%=fmtDecimal(totalTableDec(r2c1, r2c2, r2c3, r2c4)/100,2)%>. How many <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_Center)%", 1)%> should you give %(name)% to get $<%=fmtDecimal(%(total)%/100,2)%>?
%(hint_r2_Center_level_2)%	What is the highest number of <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_Center)%", 1)%> you can have without going over $<%=fmtDecimal(%(total)%/100,2)%>?	What is the highest number of <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_Center)%", 1)%> you can have without going over $<%=fmtDecimal(%(total)%/100,2)%>?	What is the highest number of <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_Center)%", 1)%> you can have without going over $<%=fmtDecimal(%(total)%/100,2)%>?	What is the highest number of <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_Center)%", 1)%> you can have without going over $<%=fmtDecimal(%(total)%/100,2)%>?	What is the highest number of <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_Center)%", 1)%> you can have without going over $<%=fmtDecimal(%(total)%/100,2)%>?	What is the highest number of <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_Center)%", 1)%> you can have without going over $<%=fmtDecimal(%(total)%/100,2)%>?	What is the highest number of <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_Center)%", 1)%> you can have without going over $<%=fmtDecimal(%(total)%/100,2)%>?	What is the highest number of <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_Center)%", 1)%> you can have without going over $<%=fmtDecimal(%(total)%/100,2)%>?	What is the highest number of <%=columnCell(%(column_1_type)%, %(column_2_type)%, %(column_3_type)%, %(column_4_type)%, %(column_1_value)%, %(column_2_value)%, %(column_3_value)%, %(column_4_value)%, "%(link_r2_Center)%", 1)%> you can have without going over $<%=fmtDecimal(%(total)%/100,2)%>?
